"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,4.61434928192645,0.913,0.059,0,"B cells","Igkc"
"2",0,4.54534610294417,0.972,0.059,0,"B cells","Ebf1"
"3",0,4.29204683050372,0.964,0.09,0,"B cells","Bank1"
"4",0,4.24691497382704,0.946,0.052,0,"B cells","Cd79a"
"5",0,3.82112283552219,0.908,0.042,0,"B cells","Ighd"
"6",0,3.52230958671143,0.968,0.365,0,"B cells","Ighm"
"7",0,3.45101145879705,0.852,0.026,0,"B cells","Pax5"
"8",0,3.31555880030797,0.764,0.029,0,"B cells","Iglc2"
"9",0,3.29000298961231,0.878,0.15,0,"B cells","Fchsd2"
"10",0,3.27937516412479,0.867,0.111,0,"B cells","Cd79b"
"11",0,3.20559998451865,0.864,0.09,0,"B cells","Ralgps2"
"12",0,3.20381358961548,0.745,0.031,0,"B cells","Ly6d"
"13",0,2.97887231520106,0.722,0.021,0,"B cells","Ms4a1"
"14",0,2.93910680238795,0.834,0.186,0,"B cells","Mef2c"
"15",0,2.92275157302832,0.703,0.026,0,"B cells","Iglc3"
"16",0,2.86770630948838,0.954,0.248,0,"B cells","Bach2"
"17",0,2.86035812512206,0.86,0.244,0,"B cells","Man1a"
"18",0,2.81247191697284,0.776,0.076,0,"B cells","Cd55"
"19",0,2.80125530527788,0.77,0.094,0,"B cells","Btla"
"20",0,2.66448608288088,0.913,0.186,0,"B cells","Aff3"
"21",0,2.75392017479235,0.541,0.005,0,"DC","Cd209a"
"22",2.64610198239801e-152,2.40985878613038,0.964,0.494,4.91328216091662e-148,"DC","Crip1"
"23",3.94688774491015e-99,2.29440609701693,0.978,0.593,7.32858116474917e-95,"DC","Cst3"
"24",0,1.91855024550868,0.838,0.101,0,"DC","Cbfa2t3"
"25",1.46091185191072e-39,1.91625495196154,0.501,0.217,2.71262112662783e-35,"DC","Tcf4"
"26",9.28424072535873e-112,1.91082325296914,0.905,0.43,1.72389781788461e-107,"DC","Vim"
"27",6.48474829943955e-149,1.83234867033936,0.661,0.162,1.20408806423994e-144,"DC","Pid1"
"28",2.88578230230258e-29,1.80707873321695,0.524,0.302,5.35832057891544e-25,"DC","Irf8"
"29",0,1.80335263212459,0.608,0.01,0,"DC","Flt3"
"30",2.50638175422347e-121,1.76377234875042,0.826,0.304,4.65384964124213e-117,"DC","Tagln2"
"31",1.09501749387636e-111,1.71769328128324,0.734,0.245,2.03322848262963e-107,"DC","Ahnak"
"32",5.29797221983452e-127,1.65917379753745,0.625,0.153,9.83727481778873e-123,"DC","S100a4"
"33",2.48172762710243e-91,1.64849558439101,0.507,0.145,4.6080718580038e-87,"DC","Ifi30"
"34",4.18490050422209e-134,1.63605841754603,0.779,0.234,7.77052325623958e-130,"DC","Lgals1"
"35",0,1.63350048923487,0.563,0.051,0,"DC","Ccnd1"
"36",1.85384702227789e-147,1.55182669494194,0.821,0.255,3.44222315096558e-143,"DC","Syngr2"
"37",7.79277540237106e-167,1.54414309756118,0.933,0.324,1.44696253671226e-162,"DC","H2afy"
"38",1.76815032718625e-96,1.50071452106146,0.857,0.314,3.28310152751944e-92,"DC","Bst2"
"39",4.56132629075674e-74,1.48835913582311,0.51,0.154,8.46947065667711e-70,"DC","Ly6c2"
"40",1.3636232827197e-192,1.46393014561273,0.636,0.118,2.53197571135394e-188,"DC","Ccdc88a"
"41",0,5.42243647790919,0.971,0.211,0,"Macrophages","Apoe"
"42",0,5.39402371110281,0.969,0.037,0,"Macrophages","C1qb"
"43",0,5.33063181538619,0.969,0.035,0,"Macrophages","C1qc"
"44",0,5.25227202378356,0.965,0.032,0,"Macrophages","C1qa"
"45",0,4.59978005829208,0.701,0.074,0,"Macrophages","Ccl4"
"46",0,4.58953791507563,0.777,0.07,0,"Macrophages","Rgs1"
